日期,契約代號,到期月份(週別),開盤價,最高價,最低價,最後成交價,漲跌價,漲跌%,合計成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
20260715,ZFF,202607,3099,3125.6,3073.2,3122,49.8,1.62%,142,0,135,3122,3123,3260.4,2533.6,,一般,
20260715,ZFF,202607,3084.8,3085,3080,3080.8,8.6,0.28%,8,NULL,-,3068.2,3080.8,3260.4,2533.6,,盤後,
20260715,ZFF,202608,3102,3120,3079.8,3094,18.4,0.60%,133,3082.6,202,3088,3094.2,3239,3038,,一般,
20260715,ZFF,202608,3095.8,3096,3090.6,3096,20.4,0.66%,13,NULL,-,3084.4,3097,3239,3038,,盤後,
20260715,ZFF,202609,-,-,-,-,-,-,0,2995.8,0,2788,3093.2,-,-,,一般,
20260715,ZFF,202609,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,ZFF,202612,-,-,-,-,-,-,0,2998.6,0,-,3093.2,-,-,,一般,
20260715,ZFF,202612,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,ZFF,202703,-,-,-,-,-,-,0,3096.8,0,-,3094.2,-,-,,一般,
20260715,ZFF,202703,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,ZFF,202706,-,-,-,-,-,-,0,3121.8,0,-,-,-,-,,一般,
20260715,ZFF,202706,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,ZEF,202607,2898.9,2924.25,2868.45,2924.25,51.8,1.80%,263,0,280,2924.05,2924.25,3205,2620,,一般,
20260715,ZEF,202607,2867.1,2888,2847.8,2872.95,0.5,0.02%,247,NULL,-,2863.65,2875.1,3205,2620,,盤後,
20260715,ZEF,202608,2929.95,2964.8,2914.85,2955.5,30.35,1.04%,545,2948,353,2953.5,2958.55,3166.55,2832,,一般,
20260715,ZEF,202608,2910,2929.95,2900,2915,-10.15,-0.35%,56,NULL,-,2910.15,2915.5,3166.55,2832,,盤後,
20260715,ZEF,202609,-,-,-,-,-,-,0,2945.35,0,2958.55,-,-,-,,一般,
20260715,ZEF,202609,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,ZEF,202612,-,-,-,-,-,-,0,2781.8,0,-,-,-,-,,一般,
20260715,ZEF,202612,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,ZEF,202703,-,-,-,-,-,-,0,2817.65,0,-,-,-,-,,一般,
20260715,ZEF,202703,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,ZEF,202706,-,-,-,-,-,-,0,3067.2,0,-,-,-,-,,一般,
20260715,ZEF,202706,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,XJF,202609,161.27,161.46,161.23,161.46,0.04,0.02%,7,161.46,595,161.35,161.6,161.94,153.97,,一般,
20260715,XJF,202609,161.39,161.41,161.01,161.4,-0.02,-0.01%,11,NULL,-,160.9,162.4,161.94,153.97,,盤後,
20260715,XJF,202612,160.04,160.04,160.04,160.04,-0.11,-0.07%,1,160.19,32,-,-,160.5,158.37,,一般,
20260715,XJF,202612,-,-,-,-,-,-,0,NULL,-,158.99,-,160.5,158.37,,盤後,
20260715,XJF,202703,-,-,-,-,-,-,0,158.98,0,-,-,-,-,,一般,
20260715,XJF,202703,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,XJF,202706,-,-,-,-,-,-,0,157.83,0,-,-,-,-,,一般,
20260715,XJF,202706,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,XIF,202607,16084,16786,16084,16515,449,2.79%,387,0,666,16515,16525,16786,13973,,一般,
20260715,XIF,202608,16008,16666,15842,16470,400,2.49%,495,16470,717,16432,16470,16666,14949,,一般,
20260715,XIF,202609,-,-,-,-,-,-,0,16451,0,15932,16970,-,-,,一般,
20260715,XIF,202612,-,-,-,-,-,-,0,16262,0,-,-,-,-,,一般,
20260715,XIF,202703,-,-,-,-,-,-,0,16497,0,-,-,-,-,,一般,
20260715,XIF,202706,-,-,-,-,-,-,0,16542,0,-,-,-,-,,一般,
20260715,XEF,202609,1.1465,1.1465,1.1465,1.1465,0.003,0.26%,4,1.1465,78,1.1442,-,1.1857,1.1381,,一般,
20260715,XEF,202609,1.1477,1.1477,1.1477,1.1477,0.0042,0.37%,2,NULL,-,-,1.1524,1.1857,1.1381,,盤後,
20260715,XEF,202612,-,-,-,-,-,-,0,1.151,15,-,-,1.1562,1.1448,,一般,
20260715,XEF,202612,-,-,-,-,-,-,0,NULL,-,-,-,1.1562,1.1448,,盤後,
20260715,XEF,202703,-,-,-,-,-,-,0,1.1556,0,-,-,-,-,,一般,
20260715,XEF,202703,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,XEF,202706,-,-,-,-,-,-,0,1.1603,0,-,-,-,-,,一般,
20260715,XEF,202706,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,XBF,202609,1.3407,1.3407,1.34,1.34,0.0043,0.32%,3,1.34,28,1.3398,-,1.3595,1.3183,,一般,
20260715,XBF,202609,-,-,-,-,-,-,0,NULL,-,-,-,1.3595,1.3183,,盤後,
20260715,XBF,202612,-,-,-,-,-,-,0,1.3399,0,-,-,1.3215,1.3209,,一般,
20260715,XBF,202612,-,-,-,-,-,-,0,NULL,-,-,-,1.3215,1.3209,,盤後,
20260715,XBF,202703,-,-,-,-,-,-,0,1.3395,0,-,-,-,-,,一般,
20260715,XBF,202703,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,XBF,202706,-,-,-,-,-,-,0,1.3391,0,-,-,-,-,,一般,
20260715,XBF,202706,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
20260715,XAF,202609,0.698,0.698,0.698,0.698,0.0045,0.65%,2,0.698,10,0.69,0.6988,0.7164,0.687,,一般,
20260715,XAF,202609,0.6956,0.697,0.6956,0.697,0.0035,0.50%,3,NULL,-,0.69,0.6988,0.7164,0.687,,盤後,
20260715,XAF,202612,-,-,-,-,-,-,0,0.697,25,-,-,0.6996,0.6978,,一般,
20260715,XAF,202612,-,-,-,-,-,-,0,NULL,-,-,-,0.6996,0.6978,,盤後,
20260715,XAF,202703,-,-,-,-,-,-,0,0.6963,0,-,-,-,-,,一般,
20260715,XAF,202703,-,-,-,-,-,-,0,NULL,-,-,-,-,-,,盤後,
