日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
20260824,臺指選擇權,CALL,自營商,31412,269284,31474,270384,-62,-1100,20078,859238,15949,623737,4129,235501
20260824,臺指選擇權,CALL,投信,0,0,620,30468,-620,-30468,6,330,3745,192545,-3739,-192215
20260824,臺指選擇權,CALL,外資及陸資,28170,309631,28430,311519,-260,-1888,3613,179071,6812,366848,-3199,-187777
20260824,臺指選擇權,PUT,自營商,33531,356203,33327,357171,204,-968,16733,408021,15241,344877,1492,63144
20260824,臺指選擇權,PUT,投信,0,0,0,0,0,0,166,1197,0,0,166,1197
20260824,臺指選擇權,PUT,外資及陸資,40139,478589,39610,477164,529,1425,6288,239809,5683,206369,605,33440
20260824,電子選擇權,CALL,自營商,0,0,0,0,0,0,5,114,3,209,2,-95
20260824,電子選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260824,電子選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260824,電子選擇權,PUT,自營商,0,0,0,0,0,0,9,181,3,95,6,86
20260824,電子選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260824,電子選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260824,金融選擇權,CALL,自營商,9,15,18,142,-9,-127,103,817,191,1319,-88,-502
20260824,金融選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260824,金融選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260824,金融選擇權,PUT,自營商,8,110,0,0,8,110,35,250,40,761,-5,-511
20260824,金融選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260824,金融選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260824,股票選擇權,CALL,自營商,188,2774,74,1158,114,1616,1127,24979,443,9477,684,15502
20260824,股票選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260824,股票選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,92,3120,-92,-3120
20260824,股票選擇權,PUT,自營商,194,2423,37,524,157,1899,1000,23014,247,3070,753,19944
20260824,股票選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260824,股票選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,40,2990,-40,-2990
20260824,ETF選擇權,CALL,自營商,0,0,1,11,-1,-11,246,1204,244,1531,2,-327
20260824,ETF選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260824,ETF選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260824,ETF選擇權,PUT,自營商,80,1159,76,1088,4,72,269,3428,151,2331,118,1097
20260824,ETF選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260824,ETF選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
