日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
20260821,臺股期貨,自營商,3530,31723637,3851,34638601,-321,-2914964,5096,46031209,3397,30705944,1699,15325265
20260821,臺股期貨,投信,540,4873561,49,442229,491,4431333,79713,719617079,3397,30666757,76316,688950322
20260821,臺股期貨,外資及陸資,50987,457493063,51191,459352744,-204,-1859681,6735,60805243,89329,806446757,-82594,-745641514
20260821,電子期貨,自營商,33,374853,55,626720,-22,-251868,16,183020,99,1132109,-83,-949089
20260821,電子期貨,投信,0,0,4,45791,-4,-45791,149,1703785,0,0,149,1703785
20260821,電子期貨,外資及陸資,102,1161320,99,1126461,3,34860,41,468827,272,3110266,-231,-2641439
20260821,金融期貨,自營商,79,249106,34,108211,45,140895,57,182514,38,121676,19,60838
20260821,金融期貨,投信,0,0,0,0,0,0,34,108868,0,0,34,108868
20260821,金融期貨,外資及陸資,299,946410,252,796007,47,150402,72,230544,201,643602,-129,-413058
20260821,小型臺指期貨,自營商,7025,15771356,7257,16302168,-232,-530812,2089,4729199,10355,23410367,-8266,-18681168
20260821,小型臺指期貨,投信,2,4514,0,0,2,4514,109,246002,153,345306,-44,-99304
20260821,小型臺指期貨,外資及陸資,120967,271193833,120764,270741769,203,452064,2068,4668287,2772,6256453,-704,-1588166
20260821,微型臺指期貨,自營商,19516,8777380,17876,8004250,1640,773130,3535,1601396,27452,12418341,-23917,-10816945
20260821,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,微型臺指期貨,外資及陸資,190919,85574570,183919,82424505,7000,3150065,5495,2480501,32,14458,5463,2466043
20260821,小型電子期貨,自營商,93,132706,29,41328,64,91378,60,85761,102,145802,-42,-60041
20260821,小型電子期貨,投信,0,0,0,0,0,0,77,110060,0,0,77,110060
20260821,小型電子期貨,外資及陸資,537,764229,503,715694,34,48535,39,55745,2,2859,37,52886
20260821,小型金融期貨,自營商,150,118928,6,4733,144,114195,63,50432,6,4803,57,45629
20260821,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,小型金融期貨,外資及陸資,187,148135,183,145072,4,3063,2,1601,6,4803,-4,-3202
20260821,股票期貨,自營商,30059,13463470,33550,14663959,-3491,-1200488,72666,24097331,240427,164836465,-167761,-140739134
20260821,股票期貨,投信,23,41406,0,0,23,41406,2952,5879976,185,32462,2767,5847514
20260821,股票期貨,外資及陸資,211637,121775748,222299,128613701,-10662,-6837953,155620,131026635,549547,324976147,-393927,-193949512
20260821,ETF期貨,自營商,3405,1330782,2444,1164446,961,166336,11799,4843181,35683,23000982,-23884,-18157801
20260821,ETF期貨,投信,0,0,0,0,0,0,11166,10761453,45,18302,11121,10743151
20260821,ETF期貨,外資及陸資,5330,3537723,4819,3295723,511,242001,11125,8551502,3711,2018100,7414,6533402
20260821,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0
20260821,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,櫃買指數期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260821,非金電期貨,自營商,68,11133,109,17791,-41,-6659,289,47577,109,17944,180,29633
20260821,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,非金電期貨,外資及陸資,50,8124,59,9635,-9,-1511,5,823,100,16462,-95,-15639
20260821,富櫃200期貨,自營商,5,4431,4,3549,1,883,0,0,9,7988,-9,-7988
20260821,富櫃200期貨,投信,0,0,0,0,0,0,29,25738,0,0,29,25738
20260821,富櫃200期貨,外資及陸資,0,0,0,0,0,0,1,888,0,0,1,888
20260821,臺灣永續期貨,自營商,0,0,0,0,0,0,7,17513,7,17513,0,0
20260821,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,臺灣永續期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260821,臺灣生技期貨,自營商,0,0,3,676,-3,-676,0,0,9,2027,-9,-2027
20260821,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,臺灣生技期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260821,半導體30期貨,自營商,43,32572,32,24149,11,8423,14,10692,16,12217,-2,-1525
20260821,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,半導體30期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260821,航運期貨,自營商,7,1521,5,1101,2,420,0,0,4,883,-4,-883
20260821,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,航運期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260821,東證期貨,自營商,448,361953,520,419714,-72,-57760,70,56994,3,2434,67,54560
20260821,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260821,東證期貨,外資及陸資,477,384821,400,322953,77,61868,0,0,186,151538,-186,-151538
20260821,美國標普500期貨,自營商,0,0,1,1560,-1,-1560,2,3069,30,46430,-28,-43361
20260821,美國標普500期貨,投信,0,0,0,0,0,0,1,1535,0,0,1,1535
20260821,美國標普500期貨,外資及陸資,1,1560,4,6162,-3,-4602,55,84586,97,148856,-42,-64270
20260821,美國那斯達克100期貨,自營商,255,374441,247,363105,8,11336,0,0,191,281786,-191,-281786
20260821,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2936,0,0,2,2936
20260821,美國那斯達克100期貨,外資及陸資,966,1419595,1008,1480317,-42,-60722,22,32648,361,530411,-339,-497763
20260821,美國道瓊期貨,自營商,0,0,6,6356,-6,-6356,0,0,73,77577,-73,-77577
20260821,美國道瓊期貨,投信,0,0,0,0,0,0,1,1058,0,0,1,1058
20260821,美國道瓊期貨,外資及陸資,22,23425,61,64854,-39,-41429,137,145414,103,109015,34,36399
20260821,美國費城半導體期貨,自營商,14,13227,1,945,13,12282,0,0,472,447456,-472,-447456
20260821,美國費城半導體期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0
