日期,契約,商品名稱(契約名稱),到期月份(週別),交易人類別,前五大交易人買方數量,前五大交易人賣方數量,前十大交易人買方數量,前十大交易人賣方數量,全市場未沖銷部位數
20260924,BRF,布蘭特原油期貨,202611,0,118,40,118,68,118
20260924,BRF,布蘭特原油期貨,202611,1,0,0,0,0,118
20260924,BRF,布蘭特原油期貨,999912,0,147,51,149,81,149
20260924,BRF,布蘭特原油期貨,999912,1,0,0,0,0,149
20260924,BTF,臺灣生技期貨,202610,0,6,6,6,6,6
20260924,BTF,臺灣生技期貨,202610,1,0,0,0,0,6
20260924,BTF,臺灣生技期貨,999912,0,6,6,6,6,6
20260924,BTF,臺灣生技期貨,999912,1,0,0,0,0,6
20260924,CA,南亞期貨,202610,0,3282,6170,4205,8373,9680
20260924,CA,南亞期貨,202610,1,3282,6170,3454,8373,9680
20260924,CA,南亞期貨,999912,0,3508,6274,4441,8511,10185
20260924,CA,南亞期貨,999912,1,3508,6274,3680,8511,10185
20260924,CB,中鋼期貨,202610,0,962,2185,1256,2384,2449
20260924,CB,中鋼期貨,202610,1,487,2185,539,2384,2449
20260924,CB,中鋼期貨,999912,0,1003,2221,1327,2459,2543
20260924,CB,中鋼期貨,999912,1,487,2221,539,2459,2543
20260924,CC,聯電期貨,202610,0,28637,49571,39183,71324,91987
20260924,CC,聯電期貨,202610,1,0,49571,1840,71324,91987
20260924,CC,聯電期貨,999912,0,28637,50022,40643,73565,96721
20260924,CC,聯電期貨,999912,1,0,50022,5110,73565,96721
20260924,CD,台積電期貨,202610,0,12435,9791,13628,14938,25215
20260924,CD,台積電期貨,202610,1,8755,9791,8961,14938,25215
20260924,CD,台積電期貨,999912,0,13834,11363,15450,17951,31560
20260924,CD,台積電期貨,999912,1,10154,11363,10379,17951,31560
20260924,CE,富邦金期貨,202610,0,1281,1320,1417,1577,1691
20260924,CE,富邦金期貨,202610,1,1031,1320,1106,1577,1691
20260924,CE,富邦金期貨,999912,0,1300,1320,1437,1584,1716
20260924,CE,富邦金期貨,999912,1,1050,1320,1126,1584,1716
20260924,CF,台塑期貨,202610,0,1563,2750,2210,3310,3514
20260924,CF,台塑期貨,202610,1,207,2750,327,3310,3514
20260924,CF,台塑期貨,999912,0,1611,2800,2274,3394,3624
20260924,CF,台塑期貨,999912,1,207,2800,330,3394,3624
20260924,CG,仁寶期貨,202610,0,3420,3031,4375,4891,6807
20260924,CG,仁寶期貨,202610,1,2740,2161,3475,2161,6807
20260924,CG,仁寶期貨,999912,0,3420,3045,4432,4945,7044
20260924,CG,仁寶期貨,999912,1,2740,2175,3482,2175,7044
20260924,CH,友達期貨,202610,0,12216,26919,14864,31532,37711
20260924,CH,友達期貨,202610,1,4917,26919,5421,31532,37711
20260924,CH,友達期貨,999912,0,12377,28551,15125,33330,39837
20260924,CH,友達期貨,999912,1,5678,28551,6182,33330,39837
20260924,CJ,華南金期貨,202610,0,324,408,418,456,475
20260924,CJ,華南金期貨,202610,1,184,408,246,446,475
20260924,CJ,華南金期貨,999912,0,326,409,422,457,482
20260924,CJ,華南金期貨,999912,1,184,409,248,447,482
20260924,CK,國泰金期貨,202610,0,1305,1361,1509,1882,2140
20260924,CK,國泰金期貨,202610,1,1252,1361,1290,1746,2140
20260924,CK,國泰金期貨,999912,0,1317,1384,1521,1907,2177
20260924,CK,國泰金期貨,999912,1,1264,1384,1302,1771,2177
20260924,CL,兆豐金期貨,202610,0,340,401,404,452,498
20260924,CL,兆豐金期貨,202610,1,340,372,387,403,498
20260924,CL,兆豐金期貨,999912,0,342,403,406,454,500
20260924,CL,兆豐金期貨,999912,1,342,373,389,404,500
20260924,CM,台新新光金期貨,202610,0,1293,1488,1544,2009,2331
20260924,CM,台新新光金期貨,202610,1,125,1488,175,2009,2331
20260924,CM,台新新光金期貨,999912,0,1586,1684,1938,2335,2852
20260924,CM,台新新光金期貨,999912,1,125,1684,175,2335,2852
20260924,CN,中信金期貨,202610,0,1658,2036,1882,2184,2272
20260924,CN,中信金期貨,202610,1,1577,2036,1746,2184,2272
